State In | Module | StartTime | NPV-Stage | StateOut | NPV nextStages | NPVtoend |

ABCEF +    I,       7,        56.0,        ABCEFI,       202.9,       258.9
ABCEG +    D,       8,        97.7,        ABCDEG,       119.5,       217.2
ABCEG +    F,       8,        92.5,        ABCEFG,       129.2,       221.7
ABCFH +    D,       8,        97.7,        ABCDFH,        37.2,       134.9
ABCFH +    E,       8,       -43.2,        ABCEFH,       129.2,        86.0
ABCFH +    I,       8,        46.6,        ABCFHI,        78.8,       125.4
ABCFI +    D,       7,       130.5,        ABCDFI,        78.7,       209.2
ABCFI +    E,       7,       -43.5,        ABCEFI,       202.9,       159.4
ABCFI +    H,       7,        97.5,        ABCFHI,        78.8,       176.3
ACDEF +    B,       6,       616.9,        ABCDEF,       179.9,       796.8
ACDEF +    G,       6,       232.6,        ACDEFG,       564.9,       797.5
ACDEF +    H,       6,       116.5,        ACDEFH,       564.9,       681.4
ACDEF +    I,       6,        65.6,        ACDEFI,       673.4,       739.0
ACDEG +    B,       7,       577.1,        ABCDEG,       119.5,       696.6
ACDEG +    F,       7,       106.8,        ACDEFG,       564.9,       671.7
ACDFH +    B,       7,       577.1,        ABCDFH,        37.2,       614.3
ACDFH +    E,       7,       -43.5,        ACDEFH,       564.9,       521.4
ACDFH +    I,       7,        56.0,        ACDFHI,       514.5,       570.5
ACDFI +    B,       6,       616.9,        ABCDFI,        78.7,       695.6
ACDFI +    E,       6,       -43.7,        ACDEFI,       673.4,       629.7
ACDFI +    H,       6,       116.5,        ACDFHI,       514.5,       631.0
ACEFG +    B,       7,       577.1,        ABCEFG,       129.2,       706.3
ACEFG +    D,       7,       130.5,        ACDEFG,       564.9,       695.4
ACEFG +    H,       7,        97.5,        ACEFGH,       466.1,       563.6
ACEFG +    I,       7,        56.0,        ACEFGI,       587.9,       643.9
ACEFH +    B,       7,       577.1,        ABCEFH,       129.2,       706.3
ACEFH +    D,       7,       130.5,        ACDEFH,       564.9,       695.4
ACEFH +    G,       7,       180.9,        ACEFGH,       466.1,       647.0
ACEFH +    I,       7,        56.0,        ACEFHI,       583.3,       639.3
ACEFI +    B,       6,       616.9,        ABCEFI,       202.9,       819.8
ACEFI +    D,       6,       145.0,        ACDEFI,       673.4,       818.4
ACEFI +    G,       6,       232.6,        ACEFGI,       587.9,       820.5
ACEFI +    H,       6,       116.5,        ACEFHI,       583.3,       699.8
ACFHI +    B,       7,       577.1,        ABCFHI,        78.8,       655.9
ACFHI +    D,       7,       130.5,        ACDFHI,       514.5,       645.0
ACFHI +    E,       7,       -43.5,        ACEFHI,       583.3,       539.8

ABCD +    E,       6,       -43.7,         ABCDE,       300.4,       256.7
ABCD +    F,       6,       130.4,         ABCDF,       136.4,       266.8
ABCE +    D,       6,       145.0,         ABCDE,       300.4,       445.4
ABCE +    F,       6,       130.4,         ABCEF,       310.4,       440.8
ABCE +    G,       6,       232.6,         ABCEG,       221.7,       454.3
ABCF +    D,       6,       145.0,         ABCDF,       136.4,       281.4
ABCF +    E,       6,       -43.7,         ABCEF,       310.4,       266.7
ABCF +    H,       6,       116.5,         ABCFH,       134.9,       251.4
ABCF +    I,       6,        65.6,         ABCFI,       209.2,       274.8
ACDE +    B,       5,       726.2,         ABCDE,       300.4,      1026.6
ACDE +    F,       5,       140.3,         ACDEF,       797.5,       937.8
ACDE +    G,       5,       321.5,         ACDEG,       696.6,      1018.1
ACDF +    B,       5,       726.2,         ABCDF,       136.4,       862.6
ACDF +    E,       5,       -43.9,         ACDEF,       797.5,       753.6
ACDF +    H,       5,       135.5,         ACDFH,       614.3,       749.8
ACDF +    I,       5,        75.1,         ACDFI,       695.6,       770.7
ACEF +    B,       5,       726.2,         ABCEF,       310.4,      1036.6
ACEF +    D,       5,       182.6,         ACDEF,       797.5,       980.1
ACEF +    G,       5,       321.5,         ACEFG,       706.3,      1027.8
ACEF +    H,       5,       135.5,         ACEFH,       706.3,       841.8
ACEF +    I,       5,        75.1,         ACEFI,       820.5,       895.6
ACEG +    B,       6,       616.9,         ABCEG,       221.7,       838.6
ACEG +    D,       6,       145.0,         ACDEG,       696.6,       841.6
ACEG +    F,       6,       130.4,         ACEFG,       706.3,       836.7
ACFH +    B,       6,       616.9,         ABCFH,       134.9,       751.8
ACFH +    D,       6,       145.0,         ACDFH,       614.3,       759.3
ACFH +    E,       6,       -43.7,         ACEFH,       706.3,       662.6
ACFH +    I,       6,        65.6,         ACFHI,       655.9,       721.5
ACFI +    B,       5,       726.2,         ABCFI,       209.2,       935.4
ACFI +    D,       5,       182.6,         ACDFI,       695.6,       878.2
ACFI +    E,       5,       -43.9,         ACEFI,       820.5,       776.6
ACFI +    H,       5,       135.5,         ACFHI,       655.9,       791.4

ABC +    D,       5,       182.6,          ABCD,       266.8,       449.4
ABC +    E,       5,       -43.9,          ABCE,       454.3,       410.4
ABC +    F,       5,       140.3,          ABCF,       281.4,       421.7
ACD +    B,       4,       803.7,          ABCD,       266.8,      1070.5
ACD +    E,       4,       -44.1,          ACDE,      1026.6,       982.5
ACD +    F,       4,       154.9,          ACDF,       862.6,      1017.5
ACE +    B,       4,       803.7,          ABCE,       454.3,      1258.0
ACE +    D,       4,       206.6,          ACDE,      1026.6,      1233.2
ACE +    F,       4,       154.9,          ACEF,      1036.6,      1191.5
ACE +    G,       4,       410.8,          ACEG,       841.6,      1252.4
ACF +    B,       4,       803.7,          ABCF,       281.4,      1085.1
ACF +    D,       4,       206.6,          ACDF,       862.6,      1069.2
ACF +    E,       4,       -44.1,          ACEF,      1036.6,       992.5
ACF +    H,       4,       154.7,          ACFH,       759.3,       914.0
ACF +    I,       4,        80.1,          ACFI,       935.4,      1015.5

AB +    C,       4,        -9.8,           ABC,       449.4,       439.6
AC +    B,       3,       881.6,           ABC,       449.4,      1331.0
AC +    D,       3,       244.6,           ACD,      1070.5,      1315.1
AC +    E,       3,       -44.3,           ACE,      1258.0,      1213.7
AC +    F,       3,       174.1,           ACF,      1085.1,      1259.2

 A +    B,       2,       959.8,            AB,       439.6,      1399.4
 A +    C,       2,        -9.9,            AC,      1331.0,      1321.1

   +    A,       1,       -34.8,             A,      1399.4,      1364.6
